w_recon,w_pred,w_grad,roc_auc,pr_auc,best_f1,best_f1_threshold,best_f1_accuracy,best_f1_balanced_accuracy,best_f1_precision,best_f1_recall,best_f1_far,p99_threshold,p99_f1,p99_balanced_accuracy,far_le_1pct_threshold,far_le_1pct_recall,far_le_0.5pct_threshold,far_le_0.5pct_recall
1,4,0.5,0.88811513,0.7029897072,0.7876224683,0.04952714592,0.93803122,0.8671235068,0.810689806,0.7658152863,0.03156827268,0.1802768633,0.6903200465,0.7734434197,0.1802768633,0.5568551276,1.137202567,0.01690362043
1,4,1,0.8888753584,0.7079379742,0.7681071713,0.05348369107,0.9302985581,0.8640267656,0.7668593714,0.76934204,0.04128850887,0.2085886598,0.7015375237,0.780399684,0.2085886598,0.5707554968,1.193604374,0.05905934865
1,4,2,0.8888456345,0.7146920444,0.7614757324,0.06086917222,0.9273262063,0.8638324381,0.7501637504,0.7731167686,0.04545189249,0.2938562587,0.6894813726,0.7729681281,0.2938562587,0.5559458864,1.26882706,0.1947016036
1,4,3,0.8883609291,0.7220165907,0.7480435702,0.06763602048,0.9212037405,0.8628854321,0.7189576531,0.7795641153,0.05379325104,0.3812428415,0.6753883751,0.7643732892,0.3812428415,0.5387391855,1.354418784,0.2908607483
1,4,4,0.8880001643,0.7302078408,0.7434846918,0.07524482906,0.9189837782,0.8627820278,0.7081728072,0.7824847082,0.05692065252,0.4637031615,0.6772900122,0.7655224012,0.4637031615,0.5410398413,1.428265095,0.3522069764
1.5,0.5,0.5,0.8882571371,0.7504738919,0.8055824744,0.06449769437,0.945259533,0.8672632733,0.8623296607,0.7558274095,0.02130086283,0.1932199858,0.6987502015,0.7786569717,0.1932199858,0.5672700722,0.5067182139,0.3250399515
1.5,0.5,1,0.8886403796,0.7646184295,0.8051173895,0.07232683897,0.9449908225,0.8677064594,0.8593762214,0.757287706,0.02187478721,0.231476333,0.703853304,0.781881046,0.231476333,0.5737449716,0.5346949697,0.4130848074
1.5,0.5,2,0.8890067935,0.7798419886,0.7846971035,0.08310798556,0.937495866,0.8640461925,0.8120551175,0.7591061884,0.03101380337,0.3189439386,0.7062712393,0.7834503312,0.3189439386,0.5769273158,0.6090837628,0.4775996032
1.5,0.5,3,0.8889882227,0.7848283728,0.7801048228,0.09081839025,0.9355632173,0.8639983591,0.7993465753,0.7617512537,0.03375453546,0.3937569365,0.709641067,0.7855990393,0.3937569365,0.5812393233,0.6885852247,0.4938144046
1.5,0.5,4,0.8886023687,0.7854917905,0.7693252719,0.09834001213,0.9309145253,0.8637481519,0.7708543687,0.7677853089,0.04028900497,0.4804023921,0.6783708349,0.7662035172,0.4804023921,0.5424312559,0.7742051303,0.4810436987
1.5,1,0.5,0.8887935629,0.7316469978,0.804007881,0.0664447695,0.9446869729,0.8670455748,0.8583560101,0.7561167135,0.02202556395,0.1963638261,0.6982591055,0.778348219,0.1963638261,0.566650135,0.6120257929,0.2530445804
1.5,1,1,0.8891487922,0.7468063544,0.8036917411,0.07596988231,0.9444699375,0.8675134871,0.8557822494,0.7575632336,0.02253625937,0.2336276665,0.7036589386,0.7817436897,0.2336276665,0.5734556676,0.6593045875,0.3403868408
1.5,1,2,0.889556609,0.7669937183,0.7819998159,0.08313828707,0.9363528128,0.8640714635,0.8043959565,0.7608006833,0.03265775625,0.325240463,0.7060748688,0.78329839,0.325240463,0.5765966826,0.7377039969,0.4123271064
1.5,1,3,0.8895735982,0.7754020225,0.7763585434,0.0912239626,0.9339860932,0.8638476939,0.7894916751,0.763638618,0.03594323012,0.3988834053,0.7057195883,0.7831047057,0.3988834053,0.5762384967,0.8365597054,0.4421254202
1.5,1,4,0.8892345058,0.7784009849,0.765892387,0.09858065099,0.9294180144,0.8635598247,0.7623350212,0.7694660274,0.04234637795,0.4872385979,0.6777048983,0.7657938735,0.4872385979,0.5416046729,0.9489813641,0.4519893095
1.5,2,0.5,0.8891260094,0.7171637536,0.7991205219,0.06725275517,0.9427770612,0.866926033,0.84425023,0.7585551331,0.02470306709,0.2007497258,0.6974697843,0.7778490289,0.2007497258,0.5656444591,0.8202773973,0.1170992451
1.5,2,1,0.8894511857,0.7249880488,0.7993336231,0.0761000663,0.9427336541,0.8675528069,0.8427700814,0.760139417,0.02503380317,0.2375347883,0.7031647657,0.7814381774,0.2375347883,0.5728495068,0.8673337236,0.2124042541
1.5,2,2,0.8896438915,0.7436220593,0.7769789214,0.08377010375,0.9342134636,0.8640211532,0.7906724667,0.7637350526,0.03569274618,0.3288862228,0.7058158565,0.7831476582,0.3288862228,0.5763073786,0.9588680834,0.3290075495
1.5,2,3,0.8895825972,0.7561845265,0.7704878336,0.09107483923,0.9314292092,0.8637616367,0.7739061544,0.7670827134,0.03955944008,0.4065302625,0.7041632529,0.782116454,0.4065302625,0.5742546977,1.040499011,0.3900782498
1.5,2,4,0.8893274918,0.7630492513,0.7618251736,0.09855791181,0.9275370407,0.8636444904,0.7515583737,0.7723590676,0.04507008687,0.4924421608,0.6776937863,0.765782529,0.4924421608,0.5415771202,1.127195433,0.4217363752
1.5,3,0.5,0.8889377824,0.7111387311,0.7954107309,0.07088216394,0.9414293746,0.8662353396,0.8357103842,0.758803108,0.02633242867,0.2071432844,0.6962805526,0.7771018639,0.2071432844,0.5641428335,1.050280666,0.0491265774
1.5,3,1,0.8894624352,0.7166376309,0.7953692925,0.076119259,0.941137927,0.8675386767,0.8313178807,0.7623849672,0.02730761374,0.2424100026,0.7027150469,0.7811557616,0.2424100026,0.5722846752,1.102656028,0.1214112525
1.5,3,2,0.8895433513,0.7278173026,0.7728928055,0.08373139799,0.9324523762,0.8639267645,0.7798706854,0.766021932,0.03816840303,0.3299269468,0.7059260197,0.7832120838,0.3299269468,0.5764313661,1.17127099,0.2608420125
1.5,3,3,0.889402827,0.7396462353,0.7672929179,0.09123918414,0.9300009095,0.8637552418,0.7654696776,0.7691078415,0.041597358,0.4107439175,0.7039821588,0.782005027,0.4107439175,0.5740342756,1.274136683,0.3350140519
1.5,3,4,0.889118213,0.7483803879,0.7576201899,0.09885105491,0.9258524325,0.8626364813,0.743455428,0.7723177385,0.04704477583,0.5012221932,0.6768949488,0.7653092683,0.5012221932,0.5406403262,1.354384255,0.382074172
1.5,4,0.5,0.8885315548,0.706922116,0.7919913249,0.07250560075,0.9401271621,0.8658153037,0.8271977198,0.7596434672,0.0280128598,0.2144880116,0.6944307289,0.7759661209,0.2144880116,0.5618835069,1.270950821,0.02408111534
1.5,4,1,0.8892887235,0.7118926768,0.7924493278,0.07635936886,0.9399080597,0.8677057347,0.8224458342,0.7645478592,0.02913638972,0.249863717,0.7017959612,0.7805917384,0.249863717,0.5711687882,1.321080682,0.07019066512
1.5,4,2,0.8893911208,0.7192973402,0.7704080223,0.08309359848,0.931282452,0.8642084963,0.7724320357,0.7683776933,0.03996070077,0.3319152951,0.7060222873,0.7832550364,0.3319152951,0.576500248,1.404553181,0.1930071086
1.5,4,3,0.8892013288,0.7275200722,0.7648895966,0.09106856585,0.9288867943,0.8638542585,0.7589167051,0.7709401003,0.04323158335,0.4192207932,0.7030787698,0.7814345231,0.4192207932,0.572890836,1.482339999,0.2843720725
1.5,4,4,0.8888810319,0.7357765776,0.7523402891,0.0983832106,0.9233844297,0.8625232981,0.7304468549,0.7755689646,0.05052236846,0.5059139132,0.6765015442,0.7650649412,0.5059139132,0.5401443765,1.557056743,0.3448090593
2,0.5,0.5,0.8877626457,0.7513311969,0.8058139793,0.09048774093,0.9456791348,0.8655815447,0.8690468601,0.7511434397,0.01998035039,0.2453203157,0.6963935095,0.7771942433,0.2453203157,0.5643494793,0.5791459918,0.3453050091
2,0.5,1,0.8882098113,0.7633188761,0.8056235615,0.09147843719,0.9451851209,0.8677243296,0.8608330592,0.7570535075,0.0216048482,0.2816887036,0.701929587,0.7806654841,0.2816887036,0.571306552,0.6186648205,0.4121066843
2,0.5,2,0.8883599305,0.7765827231,0.7856985056,0.09818339348,0.9377666435,0.8641260693,0.8137556133,0.758913319,0.03066118034,0.3579955623,0.7065767285,0.7836152467,0.3579955623,0.5772303962,0.7122901961,0.4679423596
2,0.5,3,0.8886019675,0.7838235972,0.7847331506,0.1134293005,0.937510335,0.8640490318,0.8121481001,0.759092412,0.0309943483,0.4480414093,0.7072829604,0.7840998456,0.4480414093,0.5782360721,0.7986819893,0.4908524825
2,0.5,4,0.888652528,0.7868947562,0.7810233426,0.1213361621,0.935970417,0.8639315981,0.8021025425,0.761007329,0.03314413284,0.5212170988,0.7100592711,0.7858620065,0.5212170988,0.5817628258,0.8663227394,0.5046701934
2,1,0.5,0.8883568378,0.7347972447,0.8052645954,0.09077201784,0.9454683004,0.8655709636,0.8674024363,0.7514189673,0.02027704011,0.2477017343,0.6959893207,0.7769405962,0.2477017343,0.5638397531,0.7670815781,0.2387722489
2,1,1,0.8887926371,0.7480591441,0.8049392499,0.09945591539,0.9450445646,0.8670800929,0.861035679,0.7556896457,0.02152945983,0.2839416862,0.7017656718,0.7805577049,0.2839416862,0.5710861299,0.7961380154,0.3292004188
2,1,2,0.8890349475,0.7651961823,0.7846814328,0.1060714573,0.937485531,0.8640628018,0.8119585077,0.7591612939,0.03103569031,0.360960272,0.7067680583,0.7837335619,0.360960272,0.5774645947,0.8482003927,0.4281423927
2,1,3,0.8893222552,0.775159154,0.7826444582,0.1138886437,0.9366380593,0.8640180457,0.806364885,0.7602634044,0.03222731296,0.4546826929,0.7066529539,0.7836914179,0.4546826929,0.5774094892,0.9430996448,0.4506805533
2,1,4,0.8893956624,0.7802250993,0.7782720839,0.1215209067,0.9347860237,0.8639609116,0.7943986915,0.7627707059,0.03484888279,0.5292648017,0.7078213561,0.7844430392,0.5292648017,0.5789248912,1.042060852,0.4540833196
2,2,0.5,0.8888041579,0.7192036783,0.8022791104,0.09081061184,0.9442653041,0.8657595011,0.8576669802,0.7535956356,0.0220766335,0.2518758357,0.6952741503,0.7764940797,0.2518758357,0.5629442883,0.9376217008,0.1389899157
2,2,1,0.8891669555,0.7271845438,0.8013758526,0.09889728576,0.9436596719,0.8669971323,0.8506691421,0.7574667989,0.02347253431,0.2872691885,0.7015197054,0.7803960361,0.2872691885,0.5707554968,0.9852328882,0.2212073621
2,2,2,0.889315121,0.7441777005,0.7812212812,0.1065895259,0.9360282932,0.864045056,0.802305827,0.7612001984,0.03311008648,0.3654631466,0.7063526197,0.783476267,0.3654631466,0.5769548686,1.07257795,0.3308535846
2,2,3,0.8895269074,0.7574151621,0.7784094503,0.1140089482,0.9348190958,0.8640711226,0.7944458789,0.762991128,0.03484888279,0.4632188395,0.7065023102,0.7835860706,0.4632188395,0.5771890671,1.15490492,0.3887694936
2,2,4,0.8896291522,0.7656568215,0.7730208949,0.1214229241,0.9325247214,0.8638615497,0.7804032235,0.7657601807,0.03803708135,0.5378118098,0.7044636976,0.7823081074,0.5378118098,0.5746404364,1.239341348,0.4194494958
2,3,0.5,0.8888490445,0.7132089574,0.7988155755,0.09248657525,0.9429796276,0.8653491927,0.8487229558,0.7544359949,0.02373760956,0.2587742731,0.6936863266,0.7755001558,0.2587742731,0.560946713,1.165009579,0.06954317518
2,3,1,0.8893350561,0.7186350682,0.7983051461,0.09927242994,0.9424380726,0.8669875421,0.841651903,0.7591888466,0.02521376251,0.2934549958,0.7004982375,0.7797465218,0.2934549958,0.5694467405,1.19772529,0.1424891167
2,3,2,0.8893952977,0.7293966093,0.777934559,0.1063133329,0.9346123954,0.8640799902,0.793114801,0.7633079848,0.0351480044,0.368994166,0.7057185765,0.7830812082,0.368994166,0.5761696148,1.286769128,0.2593541632
2,3,3,0.8894790667,0.7418623628,0.7744977021,0.114181675,0.9331613586,0.8639070692,0.7842575069,0.7649611506,0.03714701219,0.4683333874,0.7061641352,0.7833725367,0.4683333874,0.5767619992,1.384455767,0.3306193861
2,3,4,0.8895446366,0.7517250949,0.7695846169,0.1216488928,0.9310426795,0.8636987508,0.771681465,0.7674822285,0.0400847268,0.5446011275,0.7039990539,0.7820131312,0.5446011275,0.574048052,1.464921299,0.3767289359
2,4,0.5,0.8886328195,0.709264896,0.7963359799,0.09418793023,0.9420453418,0.8650775274,0.8423026093,0.7551110376,0.02495598292,0.265005897,0.6926028238,0.7748129601,0.265005897,0.5595552984,1.382895675,0.03537774839
2,4,1,0.8892927085,0.7139511765,0.7955920329,0.09733863175,0.9412598803,0.8673891996,0.8324452071,0.7618476883,0.02706928921,0.3014350638,0.699725312,0.779273261,0.3014350638,0.5685099465,1.431155959,0.08469719513
2,4,2,0.8893928315,0.7210922013,0.7750336901,0.1070449725,0.9334011311,0.8638836232,0.7857790112,0.7645616355,0.03679438916,0.3768266499,0.7051434649,0.7826983089,0.3768266499,0.5753843611,1.515634543,0.1986692015
2,4,3,0.8893908186,0.730179961,0.7718962408,0.1141299754,0.9320183054,0.863903979,0.7772625051,0.7665867637,0.03877880565,0.4740969658,0.7055905233,0.7830131348,0.4740969658,0.5760456274,1.597941637,0.2820989695
2,4,4,0.8894028275,0.7396462314,0.7672929179,0.1216522455,0.9300009095,0.8637552418,0.7654696776,0.7691078415,0.041597358,0.5476585567,0.7039821588,0.782005027,0.5476585567,0.5740342756,1.698848915,0.3350140519
